image_path,category,generator,label
afhq/img011751.jpg,afhq,afhq,0
afhq/img028412.jpg,afhq,afhq,0
afhq/img006890.jpg,afhq,afhq,0
afhq/img013193.jpg,afhq,afhq,0
afhq/img027590.jpg,afhq,afhq,0
afhq/img017477.jpg,afhq,afhq,0
afhq/img023844.jpg,afhq,afhq,0
afhq/img011925.jpg,afhq,afhq,0
afhq/img015143.jpg,afhq,afhq,0
afhq/img014733.jpg,afhq,afhq,0
afhq/img031008.jpg,afhq,afhq,0
afhq/img012907.jpg,afhq,afhq,0
afhq/img008063.jpg,afhq,afhq,0
afhq/img005434.jpg,afhq,afhq,0
afhq/img024320.jpg,afhq,afhq,0
afhq/img013620.jpg,afhq,afhq,0
afhq/img029794.jpg,afhq,afhq,0
afhq/img031590.jpg,afhq,afhq,0
afhq/img001053.jpg,afhq,afhq,0
afhq/img010791.jpg,afhq,afhq,0
celebahq/img015656.jpg,celebahq,celebahq,0
celebahq/img017119.jpg,celebahq,celebahq,0
celebahq/img015533.jpg,celebahq,celebahq,0
celebahq/img003504.jpg,celebahq,celebahq,0
celebahq/img028619.jpg,celebahq,celebahq,0
celebahq/img025169.jpg,celebahq,celebahq,0
celebahq/img005625.jpg,celebahq,celebahq,0
celebahq/img005198.jpg,celebahq,celebahq,0
celebahq/img012816.jpg,celebahq,celebahq,0
celebahq/img026790.jpg,celebahq,celebahq,0
celebahq/img012912.jpg,celebahq,celebahq,0
celebahq/img025824.jpg,celebahq,celebahq,0
celebahq/img019246.jpg,celebahq,celebahq,0
celebahq/img022192.jpg,celebahq,celebahq,0
celebahq/img005503.jpg,celebahq,celebahq,0
celebahq/img022092.jpg,celebahq,celebahq,0
celebahq/img017888.jpg,celebahq,celebahq,0
celebahq/img004721.jpg,celebahq,celebahq,0
celebahq/img001377.jpg,celebahq,celebahq,0
celebahq/img019893.jpg,celebahq,celebahq,0
church/img040417.jpg,church,church,0
church/img047892.jpg,church,church,0
church/img019580.jpg,church,church,0
church/img030292.jpg,church,church,0
church/img016758.jpg,church,church,0
